lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
-46.53529358,-12.81939697,1,4,4,4,85,30,90,3,35,95,65576,2
80.19210815,13.0579071,0,4,8,4,25,5,10,3,10,5,20886,2
-51.11070251,-25.18099976,1,3,3,2,50,40,20,3,20,50,88161,4
-94.78739929,39.14720154,1,4,5,3,50,50,40,3,45,45,38778,3
77.2197876,28.63270569,1,5,6,4,50,50,25,3,50,50,23820,2
76.97009277,11.01019287,0,6,7,3,25,50,25,2,40,25,35074,3
75.7928009,26.92599487,1,5,6,3,30,45,45,2,35,55,65126,3
-46.73379517,-0.968093872,0,5,4,5,30,50,20,5,25,40,71319,1
-79.41950226,43.66439819,1,4,3,1,50,50,25,2,50,50,80877,5
76.71420288,30.68559265,1,4,3,3,55,50,25,2,20,50,24799,3
-49.29089355,-25.50790405,0,5,6,3,50,50,30,3,50,50,95336,3
23.09609985,42.02000427,1,4,3,1,50,50,25,2,50,50,18091,5
-93.04979706,44.97099304,0,4,6,3,45,50,20,3,50,50,10224,3
-88.05249786,42.05670166,1,4,5,2,50,50,25,3,25,35,88631,4
-74,40.71569824,0,5,7,2,40,40,25,3,50,50,45949,4
-122.6223984,49.12510681,1,3,3,1,50,70,25,3,50,50,63038,5
-1.781005859,53.64779663,1,4,7,3,50,55,15,3,45,50,96221,3
80.19210815,13.0579071,1,3,8,3,40,45,45,4,70,80,41604,3
-95.52330017,29.87379456,1,6,9,1,50,50,25,1,50,50,48581,5
-72.02760315,42.75650024,1,5,4,3,35,40,20,1,30,50,14185,3
80.19210815,13.0579071,0,5,5,3,45,60,30,2,35,55,63486,3
73.72860718,18.61610413,1,4,9,3,35,50,30,2,25,40,91908,3
72.58709717,23.02760315,1,4,4,1,20,50,20,3,20,40,65703,5
-74.36540222,40.81500244,1,4,12,1,,,50,1,50,50,51944,5
-74.48470306,40.88969421,0,4,5,3,55,65,60,3,35,35,85303,3
-94.78739929,39.14720154,0,4,9,3,10,15,30,2,35,25,94902,3
12.10969543,43.14790344,0,5,7,3,20,50,50,4,45,50,70223,3
-95.80719757,36.04319763,1,4,10,2,50,50,25,3,50,50,65412,4
22.33070374,42.20030212,1,4,5,1,50,50,25,1,50,50,61767,5
-82.71530151,27.90280151,0,4,12,1,40,45,25,3,25,50,56569,5
8.792694092,44.76210022,1,5,3,3,40,10,35,2,50,50,43332,3
-87.96320343,41.83859253,1,4,4,4,50,50,50,3,50,50,75099,2
-97.25119781,32.92750549,0,4,11,3,35,40,35,3,40,50,99185,3
-112.0747986,33.45320129,1,5,4,3,80,25,15,3,15,20,49833,3
-87.93560028,42.06480408,0,6,9,3,45,45,25,2,45,50,48158,3
-96.82170105,32.77870178,0,5,5,5,100,100,85,4,55,65,14854,1
1.973297119,41.27990723,0,4,6,3,35,65,40,2,55,60,84628,3
-119.0596008,35.34069824,1,3,12,3,25,40,10,4,20,50,70736,3
-95.8309021,29.73880005,1,4,3,2,50,50,25,3,50,50,32047,4
76.26528931,9.940597534,1,4,5,1,50,50,25,1,50,50,52604,5
-95.50189972,30.17070007,1,6,6,1,50,50,25,2,50,50,58429,5
1.445098877,43.604599,1,5,5,3,50,50,25,3,50,50,43600,3
88.36981201,22.56019592,1,4,5,5,70,40,25,3,80,70,54023,1
-85.39279938,38.40289307,1,4,4,3,5,15,10,3,25,20,99190,3
80.19210815,13.0579071,0,4,5,4,70,50,40,2,60,100,27163,2
13.3276062,38.12989807,0,5,3,3,35,45,65,2,35,60,27020,3
80.19210815,13.0579071,1,2,2,5,100,55,5,4,10,20,28249,1
-0.851303101,38.4243927,1,3,3,3,70,65,30,3,50,50,27772,3
80.19210815,13.0579071,1,4,9,2,40,50,25,2,40,50,12656,4
3.390304565,6.447402954,1,4,5,3,10,35,25,3,45,50,77427,3
79.70010376,12.83520508,1,5,7,3,0,20,,2,0,20,66810,3
-88.27829742,43.01400757,1,6,6,2,45,70,60,2,35,45,35735,4
80.19210815,13.0579071,1,4,5,3,50,50,25,2,50,50,97880,3
-82.90920258,40.03210449,1,5,7,1,50,50,25,1,50,50,56973,5
-81.16239929,43.022995,0,4,5,2,5,20,20,2,85,35,92018,4
76.9414978,8.477493286,0,5,7,5,25,40,30,2,35,45,62232,1
-3.694000244,40.41529846,0,4,7,1,40,45,15,4,40,45,21565,5
73.07409668,19.21850586,1,4,8,4,80,50,75,2,55,80,12186,2
7.663894653,45.09140015,1,5,3,2,45,50,25,3,40,50,95112,4
77.58551025,12.96339417,1,4,8,3,45,40,35,3,40,40,51295,3
77.35449219,11.10670471,0,5,5,4,45,50,60,2,25,60,67656,2
-88.29180145,39.80039978,1,4,4,4,95,55,75,2,65,35,38555,2
-63.50939941,44.67469788,1,4,7,2,50,45,25,2,50,50,56909,4
76.26528931,9.940597534,1,4,7,2,20,60,15,2,15,40,43282,4
-111.8998032,40.34950256,1,6,5,2,50,50,25,3,50,50,96768,4
73.72860718,18.61610413,0,5,5,2,20,10,25,2,15,30,72125,4
80.19210815,13.0579071,1,5,5,3,85,80,70,3,70,85,74017,3
10.32319641,44.79589844,0,5,7,1,50,50,25,1,50,50,30603,5
72.88560486,19.07479858,1,5,7,1,95,50,25,1,50,50,60838,5
-80.81939697,35.05619812,1,3,6,3,50,45,30,5,15,25,99926,3
-3.698196411,55.88659668,0,4,7,3,50,75,25,3,55,45,47005,3
58.59449768,23.61819458,1,4,4,4,85,80,65,4,65,70,41761,2
-85.69210052,38.00759888,0,5,8,1,50,50,25,2,50,50,26236,5
78.47439575,17.37530518,1,6,5,3,50,50,50,3,50,50,33806,3
-46.30459595,-23.5440979,1,5,6,3,50,50,25,2,25,50,68808,3
-81.82170105,30.28509521,0,4,5,4,30,40,25,2,40,50,76901,2
-97.8219986,37.75100708,1,3,8,3,35,35,25,3,50,50,28062,3
14.23849487,40.86700439,0,5,3,1,25,50,40,1,20,60,58023,5
-74.83889771,40.8565979,1,4,4,3,50,55,15,3,45,50,77022,3
-79.39299774,43.72920227,1,4,11,2,50,50,25,3,50,50,44318,4
-84.58930206,33.89830017,0,5,6,3,50,55,55,3,65,55,72489,3
-43.33070374,-22.92010498,1,5,4,1,50,50,30,1,25,45,14386,5
12.51260376,41.897995,0,4,3,2,50,50,25,2,30,45,79741,4
-99.82779694,28.68850708,1,4,7,1,50,50,25,3,50,50,97529,5
-73.96669769,40.69549561,0,4,8,3,80,75,75,3,80,80,95802,3
-80.04419708,40.39649963,0,5,3,3,70,5,30,3,65,85,51076,3
-121.8401031,37.33129883,0,5,3,3,50,50,50,2,25,50,67826,3
76.29638672,9.962799072,1,5,6,4,50,50,25,2,25,50,69664,2
-78.50170135,-0.214294434,1,4,3,2,55,45,30,2,60,55,27634,4
-96.03710175,41.15229797,0,4,11,3,50,50,45,2,50,50,58638,3
-91.88929749,39.16920471,0,3,5,3,20,55,40,2,30,50,62642,3
-97.8219986,37.75100708,0,5,5,3,40,35,60,3,55,70,12721,3
-71.7365036,41.50990295,0,4,11,1,50,55,25,1,50,50,99912,5
-49.38830566,-28.72070313,1,3,4,3,50,35,20,3,45,60,15500,3
-53.83540344,-29.77659607,1,5,4,1,50,50,25,3,50,50,88721,5
-82.24089813,27.9447937,1,4,6,5,65,65,60,4,70,65,74207,1
76.97009277,11.01019287,1,4,4,3,20,15,10,4,40,10,55241,3
8.919006348,45.59680176,0,4,3,1,15,25,15,3,35,30,29524,5
7.663894653,45.09140015,1,3,3,3,20,50,5,4,50,50,74711,3
80.19210815,13.0579071,1,4,5,3,85,25,80,3,65,85,18399,3
9.219894409,45.50500488,0,5,5,3,35,60,35,2,55,60,72274,3
-83.13189697,40.03370667,0,5,11,1,50,50,25,3,50,50,42394,5
8.949996948,44.40710449,1,3,2,3,20,60,20,2,20,50,37631,3
12.51260376,41.897995,1,6,4,1,15,80,25,3,25,25,18029,5
78.10629272,9.957702637,0,4,4,4,10,15,25,4,20,15,96462,2
-43.9571991,-19.90289307,1,4,4,4,20,55,35,1,40,40,43190,2
-39.05220032,-4.092193604,0,3,4,4,40,35,25,3,20,15,63733,2
-91.17120361,38.80560303,1,4,5,3,50,50,25,2,50,50,40133,3
-2.676803589,51.64089966,1,4,5,3,50,50,50,4,50,50,58801,3
-95.93060303,36.02839661,1,4,12,3,50,50,25,3,50,50,76671,3
-106.6659012,35.18710327,1,4,5,1,50,50,50,1,50,50,68795,5
-117.9692001,33.81599426,1,5,4,3,15,25,75,3,30,30,22289,3
-43.8999939,-16.58790588,1,3,5,3,95,30,30,2,30,35,67800,3
-121.0068054,37.67550659,1,5,5,4,90,90,75,3,70,85,33114,2
