序号,提交答卷时间,所用时间,来源,来源详情,来自IP,备注,sex,age,education,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,illness bad,illness good,previous survey filled
51,4/6/2021 12:16,76秒,微信,N/A,117.136.89.109(湖南-长沙),,0,2,4,3,50,,30,3,,,,,0
52,4/6/2021 12:19,75秒,微信,N/A,117.136.84.224(云南-昆明),,0,3,4,3,10,,5,3,,,,,0
53,4/6/2021 12:21,49秒,微信,N/A,180.130.10.199(云南-昆明),,0,2,4,3,25,,35,3,,,,,0
54,4/6/2021 12:24,411秒,微信,N/A,112.42.168.43(辽宁-营口),,0,10,4,3,40,,20,4,,,,,0
55,4/6/2021 12:24,28秒,手机提交,直接访问,121.31.12.250(广西-南宁),,0,2,4,3,5,,15,3,,,,,0
56,4/6/2021 12:25,93秒,微信,N/A,223.104.240.88(云南-未知),,0,2,4,4,45,,25,3,,,,,0
57,4/6/2021 12:25,62秒,微信,N/A,223.104.237.140(辽宁-沈阳),,0,2,4,1,50,,25,3,,,,,0
58,4/6/2021 12:28,120秒,微信,N/A,223.104.240.99(云南-未知),,0,2,4,3,10,,25,3,,,,,0
60,4/6/2021 12:48,127秒,微信,N/A,117.136.72.147(云南-昆明),,0,4,4,2,20,,15,3,,,,,0
61,4/6/2021 12:53,77秒,微信,N/A,223.104.238.93(云南-大理),,0,7,3,3,5,,5,3,,,,,0
62,4/6/2021 12:56,96秒,微信,N/A,182.245.65.139(云南-昆明),,0,2,4,2,25,,55,2,,,,,0
63,4/6/2021 12:58,109秒,微信,N/A,223.104.238.237(云南-大理),,1,3,2,2,35,,35,2,,,,,0
64,4/6/2021 12:58,47秒,微信,N/A,222.197.71.243(四川-成都),,0,2,4,3,25,,60,2,,,,,0
65,4/6/2021 13:00,54秒,微信,N/A,39.144.73.116(宁夏-银川),,0,2,4,2,5,,35,4,,,,,0
66,4/6/2021 13:03,89秒,微信,N/A,106.57.109.161(云南-昆明),,1,2,4,3,35,,20,3,,,,,0
67,4/6/2021 13:04,80秒,微信,N/A,39.128.182.131(云南-普洱),,0,2,4,3,20,,20,4,,,,,0
